,Name,Price,Location,Category
224,Plot for sale in kacyiru,"180,000,000 FRW",N/A,land
225,Nice house for sale in kagugu on tarmac road,"350,000,000 FRW",N/A,house
226,House for sale in gacuriro vision 2020,"250,000 USD",N/A,house
227,Rebero nice plot for sale in good neighborhood.,"70,000,000 FRW",N/A,land
228,KIGALI NICE PLOT FOR SALE IN GOOD NEIGHBORHOOD,"250,000,000 FRW",N/A,land
229,Cheap Apartment for sale in gacuriro vision city,"180,000,000 FRW",N/A,apartment
230,Semi detached house for sale in vision city,"370,000 USD",N/A,house
231,House house for sale in nyarutarama DNd estate,"110,000 USD",N/A,house
232,Nice new house for sale on reasonable price,"68,000,000 FRW",N/A,house
233,Kigali nice house for sale on good price,"270,000,000 FRW",N/A,house
234,Nice brand new house for sale in kibagabaga,"350,000,000 FRW",N/A,house
235,Nice house for sale in kibagabaga on tarmac road,"280,000,000 FRW",N/A,house
236,Residential plot for sale in gasanze,"30,000,000 FRW",N/A,land
237,Petrol station for sale in nyamata,"1,000,000,000 FRW",N/A,building
238,Industrial plot for sale in masoro phase 1,"1,500,000 USD",N/A,wirehouse
239,Residential plot for sale in bumbogo,"38,000,000 FRW",N/A,land
240,Kigali two houses in compound for sale in big plot on good price,"150,000,000 FRW",N/A,house
241,Kibagabaga nice house for sale in good neighborhood,"280,000,000 FRW",N/A,house
242,Kigali kibagabaga house for sale brand new,"500,000,000 FRW",N/A,house
243,Un furnished house new house for sale in kibagabaga,"420,000,000 FRW",N/A,house
244,Plot/ land for sale at kabuga muyumbo,"8,000,000 FRW",N/A,house
245,Un furnished new house for sale Kibagabaga near pili pili,"350,000,000 FRW",N/A,house
246,Plot for sale kinyinya,"15,000,000 FRW",N/A,land
247,House for sale in gacuriro in good estate,"270,000,000 FRW",N/A,house
248,Un furnished house for rent in Gisozi near fawe girl school,"350,000,000 FRW",N/A,house
249,House for sale in kibagabaga near pili pili,"250,000,000 FRW",N/A,house
250,Plot with old house to be renovated for sale in remera near bk arena,"150,000,000 FRW",N/A,land
251,Plot for sale in gacuriro,"90,000,000 FRW",N/A,land
252,New well un furnished house for sale in kibagabaga,"350,000,000 FRW",N/A,house
253,Big plot for sale in kagugu near landmark hotel,"900,000,000 FRW",N/A,land
254,Un furnished house for sale in kibagabaga on tarmac road,"350,000,000 FRW",N/A,house
255,Two house for sale in compound in kibagabaga,"350,000,000 FRW",N/A,house
